      Age   Thickness   Depth
           1       10.80      10.80
           2        2.40      13.20
           3        4.40      17.60
           4        3.20      20.80
           5        3.20      24.00
           6       12.00      36.00
           7        3.20      39.20
           8        3.60      42.80
           9        2.40      45.20
          10       12.80      58.00
          11       10.00      68.00
          12        1.60      69.60
          13        2.00      71.60
          14        3.20      74.80
          15        2.00      76.80
          16        2.80      79.60
          17        3.20      82.80
          18        1.40      84.20
          19        3.20      87.40
          20       20.80     108.20
          21       11.20     119.40
          22        3.40     122.80
          23        3.80     126.60
          24        4.80     131.40
          25        4.80     136.20
          26        3.60     139.80
          27        3.40     143.20
          28        3.40     146.60
          29        4.40     151.00
          30        3.80     154.80
          31        4.60     159.40
          32        3.60     163.00
          33        3.00     166.00
          34        4.20     170.20
          35        3.60     173.80
          36        3.80     177.60
          37        4.40     182.00
          38        3.40     185.40
          39        4.00     189.40
          40        4.40     193.80
          41        3.60     197.40
          42        3.20     200.60
          43        3.60     204.20
          44        3.60     207.80
          45        3.60     211.40
          46        3.40     214.80
          47        3.60     218.40
          48        3.20     221.60
          49        3.20     224.80
          50        3.40     228.20
          51        2.00     230.20
          52        2.20     232.40
          53        2.20     234.60
          54        2.40     237.00
          55        2.40     239.40
          56        2.40     241.80
          57        3.80     245.60
          58        2.80     248.40
          59        2.00     250.40
          60        2.20     252.60
          61        1.80     254.40
          62        2.00     256.40
          63        1.80     258.20
          64        2.60     260.80
          65        2.00     262.80
          66        2.40     265.20
          67        3.60     268.80
          68        2.60     271.40
          69        3.20     274.60
          70        2.60     277.20
          71        2.40     279.60
          72        4.40     284.00
          73        3.80     287.80
          74        2.00     289.80
          75        1.80     291.60
          76        1.40     293.00
          77        2.20     295.20
          78        2.60     297.80
          79        3.80     301.60
          80        4.00     305.60
          81        4.20     309.80
          82        2.40     312.20
          83        1.60     313.80
          84        1.80     315.60
          85        2.00     317.60
          86        2.20     319.80
          87        2.60     322.40
          88        2.40     324.80
          89        3.40     328.20
          90        2.00     330.20
          91        3.40     333.60
          92        3.20     336.80
          93        2.00     338.80
          94        1.60     340.40
          95        2.20     342.60
          96        2.00     344.60
          97        2.20     346.80
          98        2.00     348.80
          99        2.40     351.20
         100        2.20     353.40
         101        2.00     355.40
         102        2.80     358.20
         103        2.60     360.80
         104        2.40     363.20
         105        2.20     365.40
         106        2.00     367.40
         107        2.20     369.60
         108        2.00     371.60
         109        2.00     373.60
         110        2.00     375.60
         111        2.00     377.60
         112        2.00     379.60
         113        1.20     380.80
         114        2.80     383.60
         115        2.00     385.60
         116        2.00     387.60
         117        3.20     390.80
         118        2.00     392.80
         119        1.60     394.40
         120        2.00     396.40
         121        1.80     398.20
         122        2.80     401.00
         123        2.60     403.60
         124        1.80     405.40
         125        1.60     407.00
         126        2.00     409.00
         127        2.00     411.00
         128        1.76     412.76
         129        2.24     415.00
         130        1.88     416.88
         131        1.84     418.72
         132        2.52     421.24
         133        2.00     423.24
         134        0.96     424.20
         135        1.60     425.80
         136        1.20     427.00
         137        1.64     428.64
         138        1.84     430.48
         139        1.32     431.80
         140        1.04     432.84
         141        1.04     433.88
         142        1.32     435.20
         143        2.00     437.20
         144        2.16     439.36
         145        2.40     441.76
         146        3.48     445.24
         147        2.12     447.36
         148        1.84     449.20
         149        2.00     451.20
         150        2.28     453.48
         151        3.12     456.60
         152        3.00     459.60
         153        4.24     463.84
         154        1.68     465.52
         155        3.24     468.76
         156        3.08     471.84
         157        2.32     474.16
         158        2.24     476.40
         159        2.08     478.48
         160        3.00     481.48
         161        3.12     484.60
         162        2.60     487.20
         163        1.40     488.60
         164        2.00     490.60
         165        1.96     492.56
         166        3.60     496.16
         167        2.36     498.52
         168        1.48     500.00
         169        2.00     502.00
         170        1.08     503.08
         171        3.88     506.96
         172        1.88     508.84
         173        1.48     510.32
         174        1.68     512.00
         175        1.88     513.88
         176        2.00     515.88
         177        1.48     517.36
         178        3.12     520.48
         179        1.84     522.32
         180        1.16     523.48
         181        1.28     524.76
         182        1.60     526.36
         183        1.48     527.84
         184        2.80     530.64
         185        2.00     532.64
         186        1.80     534.44
         187        1.84     536.28
         188        4.00     540.28
         189        2.20     542.48
         190        4.40     546.88
         191        1.96     548.84
         192        1.32     550.16
         193        1.80     551.96
         194        1.60     553.56
         195        2.48     556.04
         196        2.72     558.76
         197        1.12     559.88
         198        0.80     560.68
         199        1.24     561.92
         200        3.68     565.60
         201        3.40     569.00
         202        2.40     571.40
         203        2.12     573.52
         204        4.20     577.72
         205        1.24     578.96
         206        1.48     580.44
         207        1.52     581.96
         208        3.24     585.20
         209        1.88     587.08
         210        1.00     588.08
         211        1.68     589.76
         212        1.88     591.64
         213        2.04     593.68
         214        1.48     595.16
         215        1.80     596.96
         216        1.80     598.76
         217        3.72     602.48
         218        3.12     605.60
         219        2.44     608.04
         220        2.12     610.16
         221        1.20     611.36
         222        1.40     612.76
         223        1.20     613.96
         224        2.48     616.44
         225        2.92     619.36
         226        2.00     621.36
         227        2.80     624.16
         228        1.76     625.92
         229        2.44     628.36
         230        1.48     629.84
         231        2.00     631.84
         232        1.08     632.92
         233        1.64     634.56
         234        2.08     636.64
         235        2.00     638.64
         236        2.44     641.08
         237        1.24     642.32
         238        2.04     644.36
         239        3.68     648.04
         240        1.76     649.80
         241        2.08     651.88
         242        2.76     654.64
         243        2.44     657.08
         244        1.32     658.40
         245        1.76     660.16
         246        2.08     662.24
         247        0.88     663.12
         248        0.52     663.64
         249        0.40     664.04
         250        1.88     665.92
         251        2.72     668.64
         252        1.16     669.80
         253        1.32     671.12
         254        1.48     672.60
         255        2.24     674.84
         256        2.08     676.92
         257        2.28     679.20
         258        2.24     681.44
         259        1.64     683.08
         260        3.32     686.40
         261        0.80     687.20
         262        1.44     688.64
         263        1.68     690.32
         264        0.88     691.20
         265        0.84     692.04
         266        1.84     693.88
         267        1.08     694.96
         268        1.48     696.44
         269        1.56     698.00
         270        1.64     699.64
         271        2.48     702.12
         272        0.68     702.80
         273        1.40     704.20
         274        1.32     705.52
         275        3.08     708.60
         276        3.44     712.04
         277        2.24     714.28
         278        1.68     715.96
         279        3.08     719.04
         280        1.88     720.92
         281        2.00     722.92
         282        1.00     723.92
         283        1.64     725.56
         284        1.48     727.04
         285        0.80     727.84
         286        1.72     729.56
         287        0.88     730.44
         288        0.88     731.32
         289        4.50     735.82
         290        3.84     739.66
         291        2.92     742.58
         292        1.84     744.42
         293        2.88     747.30
         294        2.92     750.22
         295        1.40     751.62
         296        0.88     752.50
         297        1.48     753.98
         298        1.12     755.10
         299        1.20     756.30
         300        1.72     758.02
