Depth	Age	Sample number	TOC 	 d13C
121	419	HZM 1033	-9999	-27,95
122	423	HZM 1032	-9999	-27,91
123	427	HZM 1031	-9999	-28,55
124	431	HZM 1030	3,4	-28,59
125	436	HZM 1029	-9999	-28,15
126	441	HZM 1028	-9999	-27,53
127	442	HZM 1027	-9999	-26,87
128	446	HZM 1026	3,3	-27,61
129	450	HZM 1025	-9999	-28,12
130	454	HZM 1024	-9999	-28,03
131	455	HZM 1023	-9999	-28,18
132	459	HZM 1022	2,7	-27,92
133	463	HZM 1021	-9999	-27,59
134	467	HZM 1020	-9999	-27,61
135	474	HZM 1019	-9999	-27,48
136	479	HZM 1018	3,4	-27,65
137	483	HZM 1017	-9999	-27,72
138	487	HZM 1016	-9999	-27,9
139	488	HZM 1015	-9999	-27,34
140	491	HZM 1014	3,3	-28,12
141	492	HZM 1013	-9999	-28,46
142	496	HZM 1012	-9999	-28,32
143	502	HZM 1011	-9999	-27,7
144	506	HZM 1010	3,4	-27,7
145	511	HZM 1009	-9999	-27,84
146	517	HZM 1008	-9999	-27,77
147	521	HZM 1007	-9999	-28,24
148	527	HZM 1006	3,9	-28,1
149	533	HZM 1005	-9999	-28,22
150	537	HZM 1004	-9999	-27,9
151	540	HZM 1003	-9999	-27,89
152	543	HZM 1002	3,7	-28,36
153	550	HZM 1001	-9999	-28,85
154	556	HZM 1000	-9999	-28,94
155	567	HZM 999	-9999	-27,56
156	572	HZM 998	2,9	-27,41
157	573	HZM 997	-9999	-28,49
158	574	HZM 996	-9999	-28,91
159	581	HZM 995	-9999	-29,04
160	586	HZM 994	3,5	-28,54
161	590	HZM 993	-9999	-28,54
162	594	HZM 992	-9999	-28,22
163	602	HZM 991	-9999	-28,54
164	608	HZM 990	3,9	-28,63
165	614	HZM 989	-9999	-28,27
166	620	HZM 988	-9999	-28,61
167	625	HZM 987	-9999	-28,56
168	627	HZM 986	3,5	-28,91
169	637	HZM 985	-9999	-28,74
170	647	HZM 984	-9999	-28,97
171	648	HZM 983	-9999	-29,16
172	653	HZM 982	3,6	-28,34
173	657	HZM 981	-9999	-27,43
174	658	HZM 980	-9999	-28,42
175	660	HZM 979	-9999	-28,53
176	664	HZM 978	4,9	-28,88
177	669	HZM 977	-9999	-29,54
178	676	HZM 976	-9999	-29,3
179	682	HZM 975	-9999	-28,73
